RBC	RBC_Score	FBC	FBC_Score
RB11	100	NB43	87.6158
unclassified	53.0802		0
unclassified	61.973		0
unclassified	44.1525		0
unclassified	28.2182		0
RB11	100	NB25	87.691
unclassified	37.5319		0
RB12	100	NB55	100
RB10	100	NB17	74.0271
RB11	95.7735	NB65	76.3912
RB11	83.8983	NB38	100
RB09	87.6376	NB35	77.138
RB12	85.7502	NB79	100
RB12	100	unclassified	41.2805
RB09	85.6901	NB83	100
unclassified	61.1346		0
RB11	90.7016	NB90	100
RB12	71.3675	unclassified	52.7566
RB09	91.885	NB83	100
RB12	91.6239	NB95	95.7591
RB10	100	NB08	79.8312
RB09	100	NB21	100
RB09	90.7016	NB50	100
RB09	100	NB90	100
RB11	79.4915	NB78	100
RB11	100	NB15	100
RB11	73.0508	unclassified	37.808
RB09	86.6215	NB40	100
RB12	70.4274	NB61	95.7663
RB09	100	NB34	85.5925
RB11	100	NB09	100
RB09	100	unclassified	35.6351
RB10	100	NB55	100
unclassified	64.5816		0
unclassified	42.2654		0
RB11	90.7016	unclassified	34.7679
RB12	90.6838	NB05	100
RB11	75.2325	NB94	85.7384
RB12	76.3248	NB80	100
RB12	100	NB87	100
unclassified	39.6624		0
unclassified	46.9492		0
unclassified	36.2712		0
unclassified	41.4286		0
RB10	85.5565	unclassified	39.6115
RB09	100	NB59	100
unclassified	42.2689		0
RB12	79.0444	NB95	90.8397
unclassified	65.5085		0
RB11	100	unclassified	63.8136
RB09	85.7143	unclassified	62.2354
RB10	100	NB42	77.5804
unclassified	50.5042		0
RB09	100	NB31	100
RB11	100	NB36	100
RB11	100	NB61	73.4124
RB10	100	NB26	85.6298
RB11	100	NB14	71.2712
RB09	100	NB39	100
RB10	100	NB46	100
RB10	100	unclassified	68.9076
RB11	100	NB82	100
unclassified	60.0337		0
RB10	91.7587	NB05	74.8936
RB09	100	unclassified	57.1066
RB10	100	unclassified	44.6141
unclassified	42.978		0
RB09	100	NB90	100
unclassified	58.2631		0
RB10	95.7519	unclassified	54.8658
RB09	100	NB36	100
RB11	100	NB70	78.9652
RB09	100	NB06	100
RB09	100	unclassified	57.2635
unclassified	50.2131		0
unclassified	50.5042		0
RB12	77.265	NB88	73.2264
RB11	100	NB86	95.9184
RB12	91.7016	unclassified	42.2915
RB09	100	unclassified	38.1833
RB10	100	NB28	100
RB10	91.9056	NB39	100
RB11	76.3559	unclassified	55.6027
RB09	100	NB87	100
RB12	91.6239	unclassified	47.2758
unclassified	54.8305		0
unclassified	50.2131		0
RB12	87.6068	NB79	100
RB10	78.4197	NB80	95.7519
unclassified	50.5042		0
RB09	100	NB49	90.7783
RB12	100	unclassified	40.3879
unclassified	50.2131		0
RB09	100	NB42	95.8545
RB09	94.9196	NB82	100
RB11	71.4407	unclassified	34.6024
RB11	100	NB72	94.941
RB11	100	NB90	80.6616
RB11	91.6102	NB47	100
RB11	100	NB56	78.2867
RB12	100	NB04	82.5085
RB10	94.9023	NB02	83.376
RB11	95.7735	NB54	100
unclassified	50.2131		0
unclassified	35.8298		0
RB11	81.6102	NB89	100
RB09	90.6859	NB74	87.4894
RB11	100	unclassified	51.3971
RB09	100	NB07	100
RB10	100	unclassified	48.7743
unclassified	63.7437		0
RB11	71.6822	unclassified	49.9579
unclassified	32.1549		0
RB10	87.5106	NB43	100
RB09	100	NB84	100
unclassified	42.35		0
RB11	90.7627	NB22	100
RB11	76.3559	NB77	86.4751
RB10	91.7587	NB12	100
RB10	78.0776	NB07	100
RB10	100	unclassified	49.0709
RB10	87.5956	NB30	75.7396
RB11	100	NB21	90.7563
RB10	91.7587	NB39	94.9324
RB12	100	NB14	80.5932
RB10	90.7392	NB80	81.4783
RB10	78.4197	NB80	85.6415
RB10	100	unclassified	47.0738
RB11	77.5148	NB11	91.5469
RB11	100	unclassified	49.661
unclassified	44.7059		0
unclassified	42.2654		0
RB11	100	NB15	85.6419
RB09	73.3277	unclassified	34.6577
RB11	100	NB68	100
unclassified	40.8511		0
RB10	72.8972	NB45	78.8983
unclassified	41.4346		0
RB09	100	NB42	100
RB10	77.4851	NB60	100
RB11	100	NB77	85.6298
RB09	100	NB89	100
RB09	100	NB43	86.5206
RB09	100	NB89	95.9391
RB10	100	NB25	95.8404
RB10	100	NB34	83.2907
unclassified	44.6323		0
RB12	100	NB46	100
RB09	100	NB89	86.5482
unclassified	48.2906		0
RB11	100	NB25	100
RB11	100	unclassified	44.4632
RB11	90.7627	NB03	100
RB09	100	unclassified	60.186
RB09	85.6054	NB40	100
RB10	100	NB95	100
unclassified	43.1092		0
unclassified	51.3924		0
unclassified	53.0802		0
RB10	86.661	NB32	100
RB09	100	NB11	94.9281
RB09	71.6342	NB96	100
RB10	84.9073	unclassified	68.1086
RB09	100	NB96	100
RB09	100	NB46	100
RB12	77.265	NB94	91.8143
RB09	100	NB65	100
RB10	70.5734	NB24	100
RB11	100	unclassified	47.0489
RB09	100	NB40	100
RB09	91.5469	NB42	100
unclassified	30.5156		0
RB11	100	NB50	100
RB09	100	NB64	100
unclassified	38.1513		0
unclassified	41.7797		0
unclassified	40.9516		0
RB09	100	NB40	100
unclassified	34.2979		0
RB09	85.6901	NB36	85.5319
unclassified	42.2654		0
RB10	77.2344	unclassified	37.4259
RB09	100	NB39	90.7939
unclassified	33.2773		0
RB12	80.3419	NB03	100
RB12	100	NB91	87.743
RB10	100	NB64	82.5169
unclassified	50.2131		0
unclassified	48.8588		0
unclassified	41.7797		0
unclassified	36.1702		0
RB10	100	unclassified	44.7749
RB09	73.3277	unclassified	63.9149
RB10	93.2031	NB93	100
RB09	77.6839	NB30	100
RB09	100	unclassified	39.7468
RB09	100	NB10	100
RB11	100	NB13	71.2108
unclassified	50.4237		0
unclassified	58.3474		0
RB10	90.8938	NB61	100
unclassified	42.2654		0
unclassified	65.5556		0
RB10	81.6189	NB91	100
RB10	93.2546	NB61	95.7663
RB11	77.4576	NB42	100
unclassified	46.5823		0
RB09	95.9356	NB76	100
RB11	100	unclassified	45.2846
RB12	100	NB18	100
unclassified	42.2654		0
RB09	87.4049	NB77	100
RB10	73.322	NB72	90.7251
RB10	100	NB36	74.0426
